dataset,item,condition,xai,contam50,eta2,n_cell_lines
ctrpv2,Ki8751,residualized,lime,0.2,0.1048246851009356,194
ctrpv2,Doramapimod,marginal,shap,0.28,0.1810844359890145,180
ctrpv2,Doramapimod,marginal,grad_x_input,0.58,0.1804563548974773,180
ctrpv2,Doramapimod,marginal,lrp_eps,0.64,0.1845713468768053,180
ctrpv2,Doramapimod,marginal,lrp_ab,0.42,0.2069351820081093,180
ctrpv2,Doramapimod,marginal,int_grad,0.58,0.1808942266414312,180
ctrpv2,Doramapimod,marginal,lime,0.26,0.1318841903440252,180
ctrpv2,Doramapimod,residualized,shap,0.1,0.1072014896035736,180
ctrpv2,Doramapimod,residualized,grad_x_input,0.12,0.1084367602771993,180
ctrpv2,Doramapimod,residualized,lrp_eps,0.08,0.107156464058892,180
ctrpv2,Doramapimod,residualized,lrp_ab,0.16,0.0888935048698715,180
ctrpv2,Doramapimod,residualized,int_grad,0.12,0.1078481710105295,180
ctrpv2,Doramapimod,residualized,lime,0.18,0.1014491698878797,180
ctrpv2,Selisistat,marginal,shap,0.4,0.1735376584346811,261
ctrpv2,Selisistat,marginal,grad_x_input,0.64,0.1677383327840237,261
ctrpv2,Selisistat,marginal,lrp_eps,0.76,0.166151372266453,261
ctrpv2,Selisistat,marginal,lrp_ab,0.56,0.1538319376291692,261
ctrpv2,Selisistat,marginal,int_grad,0.64,0.1680094499839418,261
ctrpv2,Selisistat,marginal,lime,0.22,0.0828604831199955,261
ctrpv2,Selisistat,residualized,shap,0.18,0.0829864184378344,261
ctrpv2,Selisistat,residualized,grad_x_input,0.14,0.0822812471761256,261
ctrpv2,Selisistat,residualized,lrp_eps,0.16,0.0856204026661005,261
ctrpv2,Selisistat,residualized,lrp_ab,0.38,0.0853598296899179,261
ctrpv2,Selisistat,residualized,int_grad,0.16,0.0817884822955275,261
ctrpv2,Selisistat,residualized,lime,0.1,0.0815306429015535,261
ctrpv2,BRD-K61166597,marginal,shap,0.32,0.1529399058885571,319
ctrpv2,BRD-K61166597,marginal,grad_x_input,0.42,0.143376775737756,319
ctrpv2,BRD-K61166597,marginal,lrp_eps,0.46,0.1594185204021346,319
ctrpv2,BRD-K61166597,marginal,lrp_ab,0.24,0.5841827496878215,319
ctrpv2,BRD-K61166597,marginal,int_grad,0.4,0.1453520114224962,319
ctrpv2,BRD-K61166597,marginal,lime,0.24,0.0856351961960149,319
ctrpv2,BRD-K61166597,residualized,shap,0.08,0.0849309167401197,319
ctrpv2,BRD-K61166597,residualized,grad_x_input,0.06,0.080574402495833,319
ctrpv2,BRD-K61166597,residualized,lrp_eps,0.04,0.0913259844476265,319
ctrpv2,BRD-K61166597,residualized,lrp_ab,0.22,0.1083366665691065,319
ctrpv2,BRD-K61166597,residualized,int_grad,0.06,0.0809653404497343,319
ctrpv2,BRD-K61166597,residualized,lime,0.2,0.0689371874991878,319
ctrpv2,staurosporine,marginal,shap,0.16,0.1581507840577201,160
ctrpv2,staurosporine,marginal,grad_x_input,0.16,0.1473823044198753,160
ctrpv2,staurosporine,marginal,lrp_eps,0.14,0.1465543356557146,160
ctrpv2,staurosporine,marginal,lrp_ab,0.24,0.3306757646682141,160
ctrpv2,staurosporine,marginal,int_grad,0.14,0.148543180145454,160
