target,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
STX4,-0.2499135891680523,-0.2491371529287424,0.2929251767087683,0.5295302064067146,0.4780179085315587,0.5295302064067146,True,True,True,True,True,True,True
SYS1,-0.2702719040398421,-0.2699994975140277,0.1445065531794516,0.2540526172666676,0.2130639301690729,0.2540526172666676,True,True,True,True,True,True,True
TADA1,-0.26665075231836,-0.266361432794522,0.1344683339710916,0.222033268000239,0.1636411022811827,0.222033268000239,True,True,True,True,True,True,True
TAMM41,-0.280844581224307,-0.2805006273745343,0.1150900752765595,0.1716778407590686,0.0885941822586893,0.1716778407590686,True,True,True,True,True,True,True
TFRC,-0.2931660701149317,-0.2926041479870361,0.1745293828445133,0.2332458855905003,0.1962374353954489,0.2332458855905003,True,True,True,True,True,True,True
THAP1,-0.2856897282796289,-0.2849459587016729,0.2247727924284817,0.3200441760994987,0.3050540790883351,0.3200441760994987,True,True,True,True,True,True,True
TIMM10,-0.2687543570343443,-0.2683918710920306,0.1228802384214838,0.1896028606873036,0.156849419588749,0.1896028606873036,True,True,True,True,True,True,True
TINF2,-0.2586482631587621,-0.2584038135311142,0.1080540845824724,0.1926337876282148,0.1860820405452366,0.1926337876282148,True,True,True,True,True,True,True
TOP2A,-0.268940690493191,-0.2684220474995301,0.0825307892026291,0.1294536350715408,0.1328285411392382,0.1294536350715408,True,True,True,True,True,True,True
TP53,-0.2880866953915912,-0.2873426348674815,0.4293482528219751,0.6134036054303376,0.5307229032790179,0.6134036054303376,True,True,True,True,True,True,True
